VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,NUMBER_OF_AUTHORS,IS_BUGGY
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,243,224,48.6,12,6,2.4,231,224,46.2,0,5,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586,645,585,161.25,59,48,14.75,586,585,146.5,0,4,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,390,365,78.0,24,14,4.8,366,365,73.2,0,5,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99,108,98,27.0,9,4,2.25,99,98,24.75,0,4,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,41,41,41.0,0,0,0.0,41,41,41.0,0,1,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,79,65,39.5,13,13,6.5,66,65,33.0,0,2,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,54,55,45,18.333333333333332,1,1,0.3333333333333333,54,45,18.0,0,3,3,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47,51,47,25.5,4,4,2.0,47,47,23.5,0,2,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,203,185,50.75,20,16,5.0,187,185,46.75,0,4,3,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,49,49,49.0,0,0,0.0,49,49,49.0,0,1,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,50,50,50.0,0,0,0.0,50,50,50.0,0,1,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98,100,97,50.0,2,2,1.0,98,97,49.0,0,2,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138,138,138,138.0,0,0,0.0,138,138,138.0,0,1,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,43,43,43.0,0,0,0.0,43,43,43.0,0,1,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,42,42,42.0,0,0,0.0,42,42,42.0,0,1,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,56,56,56.0,0,0,0.0,56,56,56.0,0,1,1,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,163,162,81.5,1,1,0.5,162,162,81.0,0,2,2,True
0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6367,12222,6127,6111.0,5855,5855,2927.5,6367,6095,3183.5,0,2,2,True
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,153,155,153,77.5,2,2,1.0,153,153,76.5,0,2,2,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43,43,43,43.0,0,0,0.0,43,43,43.0,0,1,1,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41,42,41,21.0,1,1,0.5,41,41,20.5,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105,155,104,51.666666666666664,50,48,16.666666666666668,105,104,35.0,0,3,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105,148,103,29.6,43,39,8.6,105,103,21.0,0,5,3,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92,126,91,31.5,34,31,8.5,92,91,23.0,0,4,3,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,101,151,100,50.333333333333336,50,48,16.666666666666668,101,100,33.666666666666664,0,3,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45,45,45,45.0,0,0,0.0,45,45,45.0,0,1,1,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,289,290,289,145.0,1,1,0.5,289,289,144.5,0,2,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32,35,31,17.5,3,3,1.5,32,31,16.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111,111,111,111.0,0,0,0.0,111,111,111.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,36,35,18.0,1,1,0.5,35,35,17.5,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,81,81,81,81.0,0,0,0.0,81,81,81.0,0,1,1,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27,27,27,27.0,0,0,0.0,27,27,27.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,28,28,28.0,0,0,0.0,28,28,28.0,0,1,1,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,29,30,29,15.0,1,1,0.5,29,29,14.5,0,2,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,566,600,561,150.0,34,32,8.5,566,561,141.5,0,4,3,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,64,80,64,40.0,16,16,8.0,64,64,32.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29,30,29,15.0,1,1,0.5,29,29,14.5,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,64,65,64,32.5,1,1,0.5,64,64,32.0,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37,40,37,20.0,3,3,1.5,37,37,18.5,0,2,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,68,79,68,39.5,11,11,5.5,68,68,34.0,0,2,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,154,165,153,55.0,11,9,3.6666666666666665,154,153,51.333333333333336,0,3,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,72,73,72,36.5,1,1,0.5,72,72,36.0,0,2,2,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,385,400,364,66.66666666666667,15,8,2.5,385,364,64.16666666666667,0,6,3,True
0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,76,78,76,39.0,2,2,1.0,76,76,38.0,0,2,2,False
