DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.21739130434782608,0.16666666666666666,0.6299800796812749,0.02550462726809017,10.0,36.0,215.0,50.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.3333333333333333,0.016666666666666666,0.6562749003984064,0.013622419799303212,1.0,2.0,249.0,59.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,0.25,0.05,0.62566401062417,0.020332187857961107,3.0,9.0,242.0,57.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,0.21739130434782608,0.16666666666666666,0.6299800796812749,0.02550462726809017,10.0,36.0,215.0,50.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,NONE,NONE,NONE,0.4,0.03333333333333333,0.6522908366533865,0.03283201631404516,2.0,3.0,248.0,58.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,0.3076923076923077,0.06666666666666667,0.6471115537848605,0.04389159532705844,4.0,9.0,242.0,56.0
BOOKKEEPER,2,56.44257703081232,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,0.3246753246753247,0.4166666666666667,0.6564409030544489,0.18910899991009092,25.0,52.0,199.0,35.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.20588235294117646,0.14893617021276595,0.6988675360329444,0.07005948446794433,7.0,27.0,283.0,40.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.1348314606741573,0.2553191489361702,0.6210363761153054,0.005026626188224899,12.0,77.0,233.0,35.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.1565217391304348,0.3829787234042553,0.610398078242965,0.04342463422932968,18.0,97.0,213.0,29.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,BEST_FIRST,NONE,NONE,0.2,0.1702127659574468,0.6964310226492794,0.0715044507124806,8.0,32.0,278.0,39.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,BEST_FIRST,OVERSAMPLING,NONE,0.2,0.3191489361702128,0.6699382292381606,0.10026298487836965,15.0,60.0,250.0,32.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,BEST_FIRST,UNDERSAMPLING,NONE,0.25,0.574468085106383,0.7243651338366507,0.20197862027753802,27.0,81.0,229.0,20.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,NONE,NONE,NONE,0.19444444444444445,0.14893617021276595,0.6742621825669183,0.06149274202766033,7.0,29.0,281.0,40.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,NONE,OVERSAMPLING,NONE,0.1518987341772152,0.2553191489361702,0.6523335621139328,0.03040792416657779,12.0,67.0,243.0,35.0
BOOKKEEPER,3,66.66666666666667,RANDOM_FOREST,NONE,UNDERSAMPLING,NONE,0.18705035971223022,0.5531914893617021,0.6433081674673987,0.10308234588270578,26.0,113.0,197.0,21.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.5,0.35,0.7820845697329377,0.3554453752778252,14.0,14.0,323.0,26.0
BOOKKEEPER,4,73.96408839779005,RANDOM_FOREST,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.2571428571428571,0.45,0.7335311572700297,0.2222470030666295,18.0,52.0,285.0,22.0
