@relation BOOKKEEPER_TRAINING_2.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
74,74,74,74.0,0,0,0.0,74,74,74.0,0,1,1,False
48,50,48,25.0,2,2,1.0,48,48,24.0,0,2,2,False
60,61,60,30.5,1,1,0.5,60,60,30.0,0,2,2,False
70,76,70,25.333333333333332,6,4,2.0,70,70,23.333333333333332,0,3,2,False
183,202,180,50.5,19,12,4.75,183,180,45.75,0,4,2,False
53,53,53,53.0,0,0,0.0,53,53,53.0,0,1,1,False
452,472,450,118.0,20,17,5.0,452,450,113.0,0,4,2,False
39,39,39,39.0,0,0,0.0,39,39,39.0,0,1,1,False
78,82,78,41.0,4,4,2.0,78,78,39.0,0,2,2,False
64,65,64,32.5,1,1,0.5,64,64,32.0,0,2,2,False
31,32,31,16.0,1,1,0.5,31,31,15.5,0,2,2,False
57,61,57,30.5,4,4,2.0,57,57,28.5,0,2,2,False
104,111,104,55.5,7,7,3.5,104,104,52.0,0,2,2,False
32,32,32,32.0,0,0,0.0,32,32,32.0,0,1,1,False
227,279,226,93.0,52,50,17.333333333333332,227,226,75.66666666666667,0,3,2,False
197,208,187,52.0,11,6,2.75,197,187,49.25,0,4,3,False
75,81,75,40.5,6,6,3.0,75,75,37.5,0,2,2,False
28,28,28,28.0,0,0,0.0,28,28,28.0,0,1,1,False
52,54,52,27.0,2,2,1.0,52,52,26.0,0,2,2,False
429,506,428,168.66666666666666,77,75,25.666666666666668,429,428,143.0,0,3,2,False
103,134,104,67.0,30,30,15.0,104,104,52.0,0,2,2,False
35,35,35,35.0,0,0,0.0,35,35,35.0,0,1,1,False
98,99,98,49.5,1,1,0.5,98,98,49.0,0,2,2,False
79,94,78,31.333333333333332,15,13,5.0,79,78,26.333333333333332,0,3,2,False
215,227,177,75.66666666666667,12,8,4.0,215,177,71.66666666666667,1,3,1,False
271,284,260,142.0,13,13,6.5,271,260,135.5,0,2,1,False
451,534,425,106.8,83,55,16.6,459,425,91.8,0,5,3,False
137,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
368,305,294,152.5,181,171,90.5,124,123,62.0,0,2,2,False
764,580,106,29.0,842,370,42.1,612,327,30.6,7,20,3,False
51,53,52,26.5,2,2,1.0,53,52,26.5,0,2,2,False
150,63,58,31.5,5,5,2.5,58,53,29.0,1,2,2,False
31,33,33,16.5,2,2,1.0,35,33,17.5,0,2,2,False
684,684,684,684.0,0,0,0.0,684,684,684.0,0,1,1,False
180,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
196,202,195,101.0,6,6,3.0,196,195,98.0,1,2,1,False
482,388,253,29.846153846153847,377,194,29.0,291,129,22.384615384615383,5,13,3,False
40,40,40,40.0,0,0,0.0,40,40,40.0,1,1,1,False
259,136,79,27.2,81,68,16.2,55,20,11.0,2,5,1,False
379,401,228,100.25,22,17,5.5,379,211,94.75,1,4,3,False
510,549,378,68.625,39,20,4.875,542,378,67.75,1,8,3,False
32,32,32,32.0,0,0,0.0,32,32,32.0,0,1,1,False
66,74,69,37.0,8,8,4.0,72,69,36.0,0,2,1,False
187,213,183,42.6,26,22,5.2,191,183,38.2,2,5,2,False
576,589,550,196.33333333333334,13,11,4.333333333333333,576,550,192.0,0,3,2,False
158,161,157,53.666666666666664,3,2,1.0,158,157,52.666666666666664,0,3,1,False
46,128,92,16.0,633,541,79.125,579,531,72.375,2,8,2,False
27,80,79,40.0,53,53,26.5,131,79,65.5,0,2,1,False
788,842,712,120.28571428571429,54,19,7.714285714285714,788,712,112.57142857142857,4,7,3,False
60,60,60,60.0,0,0,0.0,60,60,60.0,0,1,1,False
62,74,36,14.8,161,109,32.2,159,88,31.8,1,5,1,False
88,118,113,59.0,30,30,15.0,138,113,69.0,0,2,1,False
52,55,53,27.5,3,3,1.5,54,53,27.0,0,2,1,False
163,9,6,4.5,3,2,1.5,6,4,3.0,1,2,2,False
91,91,91,91.0,0,0,0.0,91,91,91.0,0,1,1,False
147,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
58,58,58,58.0,0,0,0.0,58,58,58.0,0,1,1,False
44,44,44,44.0,0,0,0.0,44,44,44.0,0,1,1,False
139,12,12,12.0,10,10,10.0,2,2,2.0,1,1,1,False
282,11,11,11.0,0,0,0.0,11,11,11.0,0,1,1,False
582,152,106,25.333333333333332,118,67,19.666666666666668,116,68,19.333333333333332,3,6,3,False
800,91,73,22.75,19,11,4.75,72,62,18.0,1,4,2,False
216,19,9,6.333333333333333,8,3,2.6666666666666665,11,7,3.6666666666666665,2,3,1,False
55,9,9,9.0,4,4,4.0,5,5,5.0,0,1,1,False
184,8,4,2.6666666666666665,9,5,3.0,3,2,1.0,2,3,2,False
65,13,13,13.0,9,9,9.0,4,4,4.0,1,1,1,False
150,26,25,13.0,33,32,16.5,7,7,3.5,1,2,1,False
81,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
84,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
905,221,95,24.555555555555557,78,30,8.666666666666666,143,65,15.88888888888889,5,9,3,False
312,70,44,14.0,6,4,1.2,64,44,12.8,2,5,3,False
171,5,5,5.0,3,3,3.0,2,2,2.0,0,1,1,False
153,30,19,5.0,73,65,12.166666666666666,49,46,8.166666666666666,3,6,3,False
84,26,26,26.0,9,9,9.0,17,17,17.0,0,1,1,False
169,5,4,2.5,1,1,0.5,4,4,2.0,1,2,2,False
189,17,15,5.666666666666667,1,1,0.3333333333333333,16,15,5.333333333333333,1,3,2,False
127,59,37,11.8,35,23,7.0,24,14,4.8,3,5,2,False
79,2,2,2.0,1,1,1.0,1,1,1.0,1,1,1,False
90,25,25,25.0,22,22,22.0,3,3,3.0,1,1,1,False
85,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
123,20,10,6.666666666666667,2,1,0.6666666666666666,20,10,6.666666666666667,1,3,3,False
276,61,30,20.333333333333332,1,1,0.3333333333333333,60,30,20.0,2,3,2,False
549,182,110,30.333333333333332,10,9,1.6666666666666667,182,110,30.333333333333332,4,6,2,False
27,27,27,27.0,0,0,0.0,27,27,27.0,0,1,1,False
88,89,84,44.5,1,1,0.5,88,84,44.0,0,2,1,False
283,36,23,9.0,6,4,1.5,30,23,7.5,3,4,3,False
175,12,7,6.0,30,28,15.0,24,21,12.0,2,2,2,False
507,29,15,7.25,36,31,9.0,25,16,6.25,4,4,2,False
209,5,5,5.0,0,0,0.0,5,5,5.0,0,1,1,False
147,5,5,5.0,2,2,2.0,3,3,3.0,1,1,1,False
98,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,False
132,132,132,132.0,0,0,0.0,132,132,132.0,1,1,1,False
236,236,236,236.0,0,0,0.0,236,236,236.0,0,1,1,False
227,49,26,16.333333333333332,3,2,1.0,46,26,15.333333333333334,2,3,2,False
172,20,10,6.666666666666667,2,2,0.6666666666666666,18,8,6.0,2,3,2,False
507,153,61,17.0,39,22,4.333333333333333,114,59,12.666666666666666,4,9,2,False
90,90,90,90.0,0,0,0.0,90,90,90.0,0,1,1,False
58,58,58,58.0,0,0,0.0,58,58,58.0,0,1,1,False
132,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
529,9,5,2.25,13,8,3.25,4,3,1.0,0,4,1,False
694,193,48,19.3,102,44,10.2,107,43,10.7,5,10,3,False
148,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
174,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
148,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
92,2,2,2.0,2,2,2.0,0,0,0.0,0,1,1,False
77,77,77,77.0,0,0,0.0,77,77,77.0,0,1,1,False
664,666,665,333.0,1,1,0.5,665,665,332.5,0,2,1,False
55,55,55,55.0,0,0,0.0,55,55,55.0,0,1,1,False
256,43,33,14.333333333333334,21,14,7.0,22,19,7.333333333333333,1,3,2,False
54,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
98,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
39,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
47,47,47,47.0,0,0,0.0,47,47,47.0,0,1,1,False
69,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
43,43,43,43.0,0,0,0.0,43,43,43.0,0,1,1,False
94,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
72,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
48,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
63,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
318,86,47,28.666666666666668,5,4,1.6666666666666667,81,47,27.0,0,3,2,False
136,3,3,3.0,0,0,0.0,3,3,3.0,0,1,1,False
141,4,4,4.0,0,0,0.0,4,4,4.0,0,1,1,False
190,15,15,15.0,2,2,2.0,13,13,13.0,0,1,1,False
46,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
165,59,59,59.0,22,22,22.0,37,37,37.0,0,1,1,False
162,13,13,13.0,0,0,0.0,13,13,13.0,0,1,1,False
58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
148,9,9,9.0,10,10,10.0,1,1,1.0,0,1,1,False
74,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
